,English,Japanese,good_trans,original_language
49230,And I heard high-pitched sounds and HYU2 sounds,そして甲高い音やヒューヒューと言う音を聞いていました,0,1
41039,Saying that you are not the real you now,今のあなたが 本当のあなたじゃないと言って,0,1
54742,Or is it more shocking to be abandoned by Nam Gyuman?,それともナム・ギュマンに見放されたことの方がショックかな,0,1
8287,"if you don't like it, leave.",嫌なら 去れ。,1,1
12311,take him down to earth.,彼を地球へ,1,1
57004,What is the relationship between our court and witnesses?,当法廷と 証人との関係は?,0,1
31086,"yeah, miles offered his loyalty in exchange for the money.",ええ、マイルはお金と引き換えに彼の忠誠を提供しました。,0,0
52111,I'm wondering how much I can save the lives of hungry humans!,飢えた人間の命を どんだけ救えると思ってんだよ!,0,1
3595,"with hundreds of hours of five drafts, six drafts",何百時間もかけて第5稿 第6稿まで作り,1,1
3621,i'm terribly sorry for getting you involved.,こんなことに巻き込んで ホントにごめんなさい,1,1
52079,Show where to go,どこへ行くかを示す,0,1
12710,"um actually, this spring",あの 実は この春,1,1
34203,"now, the world is shrouded in darkness.",今、世界は暗闇に包まれています。,0,0
26910,we're going to meet the savior.,私たちは救い主に会うつもりです。,0,0
13923,is he making a face? is that,彼のこの顔、何?,1,1
14900,crowning glory.,いけるか?,1,1
45572,Airi-chan. Is this device the source of the sound?,愛理ちゃん。 ピーガガガって音の 発信源は この装置なの?,0,1
43763,What the hell is that,一体何なのだろう,0,1
23834,but the religious world doesn't think that way.,しかし、宗教界はそのように考えていません。,0,0
24125,"i'm not your brother, but",私はあなたの兄弟ではありませんが,0,0
1224,"yes, yes.",それは結構,1,1
454,what's this?,ふざけんな この野郎!,1,1
31884,you got a gun? where is your gun?,あなたは銃を持っていますか？あなたの銃はどこにありますか？,0,0
3805,"i said, what kind of salts of potassium do you have? you know.",それでどんなカリウム塩があるか聞いたら,1,1
48688,this. I think you know.,これ。 分かってると思うけど。,0,1
15242,go. turn around.,向こうを向け,1,1
39551,"have higher degree, and are more central",程度が高く、より中心的です,0,0
42183,Sends super electromagnetic waves to the hit object ｡,打ちつけた対象物に 超電磁波を送り,0,1
24587,"ah, this always scares me.",ああ、これはいつも私を怖がらせます。,0,0
34063,i want to sleep without working.,働かずに寝たい。,0,0
16073,"kakashi, you are to report to the village for details from your last mission.",カカシさんは 報告のため 里に戻るようにとのことです。,1,1
51687,I'll get it,手に入れてやる,0,1
56044,You are the reason I trust,君こそ 私が信頼する理由だ,0,1
36039,"okay. that's it, gang!",わかった。それだけです、ギャング！,0,0
11177,"okay, thanks! i'll be waiting!",うん ありがとう 私 待ってる。,1,1
16931,"yes, yes, very kind.",ええ どうも親切に,1,1
7395,and that's when he was embarrassed in front of the public.,凶器のトロフィーが 手前に置かれていた》,1,1
32497,the body count is 10 percent higher.,体の数は10パーセント多いです。,0,0
55977,Completion of this super-gorgeous special flight,当当 超豪华特制便当 完成,0,1
57270,I also fast.,僕も断食します。,0,1
42031,That's the worst,そうょ もラ最悪よ,0,1
2543,"by her, you mean",此刻解放所有一切,1,1
36730,"now, my work began at the beginning.",今、私の仕事は最初から始まりました。,0,0
51695,I've broken their weapons and traps.,奴らの武器と罠を、壊してきたんだ。,0,1
2849,commonly known as zebra. where its being distributed is a topic of discussion,通称ゼブラと呼ばれ 闇ルートの連中たちの間でも,1,1
40621,I brought this venison,これを持ってきたわ 鹿の肉よ,0,1
35333,that unhappy one should be crazy.,その不幸な人は狂っているはずです。,0,0
33767,mother! what?,母親！何？,0,0
10373,where is it?,女の子の私を蹴飛ばしていた?!,1,1
51477,You should be happy to work with me,私と一緒に仕事が出来て 嬉しいはずよ,0,1
42914,"For those who are expanding their hearts and learning, this is what they mean",自分達の心や学ぶ事を広げて行く人達にとって、こういうのって,0,1
52296,Gaya's influential power and ability,我也在力所能及的范围内进行了接触,0,1
15745,"secondly, inflation simply never became a threat.",第二にインフレが脅威とならない事です,1,1
11483,"in a gothic cathedral, this kind of music is perfect.",ゴシック式大聖堂にはこういう音楽が合います,1,1
5827,"and a great humanitarian, mr. terry cox.",偉大な人道主義者 テリー・コックスだ,1,1
20773,they never got to see what i became.,彼らは私がどうなるかを決して見ることができませんでした。,0,0
43703,"Excuse me, I felt that I should play because of the setting of the stage",失礼 舞台という設定上、芝居をすべきだと感じまして,0,1
56717,Music can be said to exist in time,音楽は時間の中に存在するといえます,0,1
42603,Bamba Bambang Burn,バンバ バンバン バーン,0,1
53258,Well everyone this is,さて 皆さんはこれが,0,1
42449,Everything that should be disposed of after his death,彼の死後に全て 処分されるはずの物さ,0,1
11537,it doesn't work.,これでは意味がないのです,1,1
18006,we'll meet at the designated place!,集合場所で 会いましょう。 ラジャ~!,1,1
57513,How did you find out?,どうして分かったの?,0,1
33759,if there were ever anything that might be of therapeutic value to others,他の人にとって治療的価値があるかもしれない何かがあったら,0,0
9502,"right. limo back to the real world after the perfect date, huh?",リムジンで 現実世界へ戻すのね,1,1
17558,this is an olympic gold medal.,これはオリンピックの 金メダルだ,1,1
38061,its title the palace at four in the morning,そのタイトルは朝の4時に宮殿です,0,0
21797,"no, thanks.",結構です。,0,0
13465,they're sleeping well,いっぱい遊んで おなかいっぱい食べたから,1,1
19526,"let's never come here again, 'cause it would never be as much fun.",今はいいけど 今度日本に来ても 楽しくないかもね,1,1
1830,hey! you're hitting me!,こら! お前のパンチが 当たってるんだよ!,1,1
38140,i'm used to it. what does that mean?,慣れてる。どういう意味ですか？,0,0
24504,and if you want to get more specific,より具体的にしたい場合,0,0
52197,No! The movement is fast and the goal is too small !!,ダメです! 動きが速いし 目標が小さすぎます!!,0,1
49855,It's a big cock,巨根 だ,0,1
25102,i'll be in touch.,連絡します。,0,0
43775,Together,ともに力を合わせて,0,1
32345,"genius, kid.",天才、子供。,0,0
12059,ed stayed at a friend's most nights till she calmed down.,エドはたまらず友人宅へ そしたらソフィアは落ち着いた,1,1
8988,how is the trip?,旅はどう?,1,1
8980,lost my wife car accident. 18 months before all this.,妻は交通事故で死んだ こうなる18ヶ月前だ,1,1
39380,"what did you say, you bastard!",あなたは何と言いましたか、あなたはろくでなしです！,0,0
21220,both of you.,二人とも。,0,0
38417,"hannibal, hannibal, hannibal.",ハンニバル、ハンニバル、ハンニバル。,0,0
59426,"That's amazing, isn't it?",そりゃ すげえよ なあ?,0,1
53838,Now you said,今 君の言った,0,1
39622,why am i not surprised?,なぜ私は驚かないのですか？,0,0
10222,"you be it. come on, kids.",ライアンの鬼!,1,1
26676,"one day, it just suddenly seemed like a giant farce.",ある日、突然巨大な茶番劇のように見えた。,0,0
51939,Look at it soon,早く、ほら見ろ,0,1
43364,The child born cannot be happy,生まれてくる子も幸せになれない,0,1
54797,The ostensibly is to eradicate crime,表向きは犯罪撲滅を 掲げる事だ,0,1
57238,Did you allow driving?,運転を許可したろ?,0,1
9109,i would experience what it was to be unequal.,私は「平等でない」という経験をしました,1,1
18193,my foolish little brother,思いっきり はずしたな。 ごめん 兄さん。,1,1
24674,he says he's a reporter.,彼は彼がレポーターだと言います。,0,0
33274,yes.,はい。,0,0
8090,her body's turning on itself.,もちろん,1,1
56130,Mr. Sugada is strong,菅田君 強いな,0,1
38026,"they're learning our culture, our language, our heritage",彼らは私たちの文化、言語、遺産を学んでいます,0,0
6254,would you simply accept your new life and continue on?,新しい人生を受け入れ 生まれ変わるか?,1,1
2940,was that a woman on the phone? yeah.,さっきの電話 あれ 女か? はい。,1,1
2883,he only needed two stitches.,おでこ2針 縫っただけじゃない 立派な傷害です,1,1
30312,do you have a camera angle from the direction they're heading?,彼らが向かっている方向からのカメラアングルはありますか？,0,0
29449,hanna? he didn't.,ハンナ？彼はしませんでした。,0,0
23715,you know what i was wondering this morning?,あなたは私が今朝何を思っていたのか知​​っていますか？,0,0
43718,Someone get me out of here!,誰かここから出してくれ!,0,1
59776,amazing.,すごいね。,0,1
51853,Hector's complexion has returned to normal,ヘクトルの顔色も 元に戻った,0,1
59142,"I mean, Clove, no, the people in the current platoon",なんていうか チョウジや いのや 今の小隊の連中や。,0,1
22532,i'm trying.,私はしようとしています。,0,0
28276,oh,おお,0,0
33910,we do this by shooting a laser up into the atmosphere,これを行うには、大気中にレーザーを発射します,0,0
20233,what now?,今何？,0,0
56860,Blessing is enough,祝福だけで十分です,0,1
20241,"if it were me, i would want that person to be always close to me",もしそれが私なら、その人はいつも私の近くにいて欲しいです,0,0
12434,yeah. i remember. kind of.,あぁ、覚えている だいたいだけど,1,1
55800,I'm different from my dad,僕は パパとは違うから,0,1
50520,Are you ready?,覚悟はいいかな?,0,1
23239,to keep on giving,与え続けるために,0,0
25127,"administer ceftriaxone for one more day. as for anticonvulsant, prescribe levetiracetam 500 ml twice daily.",セフトリアキソンをもう1日投与します。抗けいれん薬については、レベチラセタム500mlを1日2回処方してください。,0,0
43108,Finch!,フィンチ!,0,1
58142,I'll give you the current fluke.,今のまぐれ当たりは くれてやる。,0,1
652,silence is in some way heroic?,沈黙が誰かのためになると?,1,1
41686,Oh cute,あら 可愛い,0,1
39371,love is stronger than death? what a load of rubbish,愛は死よりも強いのですか？なんてゴミだらけ,0,0
9826,"and it turns out, the best way to cut things in half",結果的に物を半分に切るのに最良の方法は,1,1
58746,No one saw him.,誰も彼を見なかった。,0,1
3184,"yeah, djs. deaf jews.",djうん、聴覚障害のユダヤ人。,1,1
37015,all the assistants are waiting around.,すべてのアシスタントが待っています。,0,0
9625,what's he saying?,内容は?,1,1
1944,i know what this is all about.,何でことだ,1,1
30358,because the fda amendment act only asks that you publish the trials conducted after 2008,fda改正法は、2008年以降に実施された試験の公開のみを求めているためです。,0,0
17797,"how a bill becomes a law, yes",などを知っていたり,1,1
29872,"usagisan, how did you do on your test?",うさぎさん、テストはどうでしたか？,0,0
14858,everything we have on almeida's crew is in this directory.,アルメイダの仲間の情報は すべてここよ,1,1
9507,he went that way.,あっちよ,1,1
37016,it is a creature called kouki.,コウキという生き物です。,0,0
30071,"from today, you have been given the name",今日からあなたは名前を与えられました,0,0
3401,how fucking dare you!,どんだけ大胆なのよ!,1,1
15372,"and if there is a trial, i want to take the stand and tell the jury that i'm innocent.",公判が有るなら無実を主張します,1,1
6637,hide the glass!,隠しなさいよ!,1,1
1235,that novel was perverted,見たろう?あの小説を,1,1
57203,It's not a direct cause of dismissal,それは解雇の直接の原因ではない,0,1
33870,tell me?,教えて？,0,0
25095,charlie carrier is 45 degrees off the port bow. six minutes.,チャーリーキャリアは港の船首から45度離れています。 6分。,0,0
26717,i'm glad i fell in love with you.,私はあなたに恋をしたことをうれしく思います。,0,0
43349,What are you talking about,何言ってる ちゃんとしゃべれよ,0,1
59565,To be able to join the network,ネットワークに参加できるように,0,1
39539,there's no doubt that i put on,私が着ていることは間違いありません,0,0
45774,And about 300 players including Asuna,そして アスナは含めた 約300人のプレーヤーが,0,1
7825,that's what namiesan said.,奈美江さん 言ってた,1,1
32619,those pricks!,それらの刺し傷！,0,0
46794,Easy access to the brain,頭脳が簡単にアクセスできる,0,1
29195,don't worry about anything and,何も心配しないで,0,0
18500,what about that girl from the motel?,あのモーテルの女は?,1,1
50892,It's an oil pipeline,オイルのパイプラインだ,0,1
32949,the exact opposite by the powers that be,である力による正反対,0,0
21028,shen!,シェン！,0,0
16185,"doc and 10k, you guys harvest the leaves.",ドクと10kは葉を収穫,1,1
32811,get the fuck out of my face.,私の顔から性交を取得します。,0,0
31269,we can make materials that have incredible strength,信じられないほどの強さを持つ素材を作ることができます,0,0
23250,[laughs] not nearly enough.,[笑い]十分ではありません。,0,0
7974,"hey. for old time's sake, should we do that thing?",ねえ 昔の様に あれを一度やろうか?,1,1
35327,"it's nam gyu man, right?",ナム・ギュマンですよね？,0,0
53358,First young woman in the bathtub crashes to death mother and slaughtered man,最初に バスタブで若い女性 墜落死する母親 そして撲殺される男,0,1
48096,And the nature of law in public and community life will follow.,そして公共生活、共同体生活における 法の性質もそれに従うだろう,0,1
12150,yes. thanks.,ありがとう,1,1
39619,"neesan means elder sister, young lady, miss, waitress. a form of address similar to miss or mister.) yamada!",neesanは姉、若い女性、ミス、ウェイトレスを意味します。ミスやミスターに似たアドレスの形式。）ヤマダ！,0,0
11880,the subcenter is closed. ao you have to come back,閉まっていて 来た道を戻らなくてはいけません,1,1
43426,Seriously,《マジキモい》,0,1
28234,anybody home with him?,誰か彼と一緒に家にいますか？,0,0
26323,immigration confirms the arrival of a dr. and mrs. harris,移民は博士の到着を確認します。と夫人。ハリス..。,0,0
41882,California's transformation into Silicon Valley economy,カリフォルニアのシリコンバレー経済への転換は,0,1
55408,Vice President will die if Sarah does not come in 15 minutes,15分で サラが来なければ 副大統領が死ぬ,0,1
32789,"have a nice day, sir.",良い一日を。,0,0
8538,what the hell? ! we have to move now!,何なんだよ!,1,1
11447,"well, save yourself the trouble and don't.",まあ その事は気にしないで,1,1
20881,is she all right?,彼女は大丈夫ですか？,0,0
20542,shall we go already?,もう行こうか？,0,0
24760,dont you have anything to say?,何か言うことはありませんか？,0,0
31103,we most definitely would like to have them observe our classes.,私たちは間違いなく彼らに私たちのクラスを観察してもらいたいと思っています。,0,0
31398,what you are thinking is enough..! excuse me!,あなたが考えているのは十分です..！すみません！,0,0
42051,"I found something terribly worrisome today, just off the graveyard I'll send you the box that was buried",今日 ひどく気がかりなものを発見した 墓地から少し外れたところだ 埋葬されていた箱を君に送る,0,1
12299,that you get when you enter into this ecstatic state.,無理なく自然な感覚に到達するというのです,1,1
704,it evidently has certain hallucinogenic properties,ある幻覚誘発剤を含んでいるそうなのです。,1,1
29426,i end my turn!,私は自分の番を終えます！,0,0
37936,what about her surfboard?,彼女のサーフボードはどうですか？,0,0
33873,your punches are already dead!,あなたのパンチはすでに死んでいます！,0,0
15077,seems like a ryokan thank you.,旅館みたいね。 どうも。 お気遣いなく。,1,1
3299,"you had to look out for yourself, huh?",独り歩きを せざるを得なかったんだね,1,1
25215,you've got to be able to see where this is going.,あなたはこれがどこに向かっているのかを見ることができなければなりません。,0,0
52284,"Huhhhhh Well, it will be somehow.",フフフフ。 まぁ 何とかなるさ。,0,1
4206,we didn't look here.,ここは見てない - 調べたさ,1,1
57727,It's on the left,それは左だろ,0,1
40939,Welcome ~,いらっしゃ~い,0,1
33852,i was chosen to bring about the new world.,私は新しい世界をもたらすために選ばれました。,0,0
49757,It must be intricate to stop the blast.,爆風を止めるために 入り組んでるはずだし。,0,1
38037,the score would go up and it would keep track,スコアが上がり、追跡します,0,0
29021,she's not giving them a chance. it's day 1.,彼女は彼らにチャンスを与えていません。 1日目です。,0,0
52865,So that's not the story,だから そういう話じゃなくて。,0,1
54716,I thought I knew,わかったつもりでいた,0,1
41514,Is that so? Will you do it?,そうかい? やってくれるか?,0,1
31994,emptying out of my neck,首から空にする,0,0
46311,I jumped out of the room on the 13th floor last night,昨晩 13階の部屋から飛び降りたんです,0,1
43207,He thinks we are considering,奴は我々が検討していると思っている,0,1
47980,When did you establish the Fizz System? Mr. Phyllo,フィズシステムを設立したのは いつですか? ファイロさん,0,1
52179,How did you get this?,こんなもの どうやって手に入れたんです?,0,1
18386,this cannot happen.,絶対に許す事はできないわね,1,1
19359,what?,え 何かあったの?,1,1
41241,You should be with your companion,お前は自分の仲間と一緒にいるべきだ,0,1
30788,i was scared shitless i wouldn't make it. i really didn't think i would.,私はたわごとが怖かった私はそれを作ることができませんでした。私は本当にそうなるとは思いませんでした。,0,0
34444,but that's the logic of the powerful.,しかし、それは強力な論理です。,0,0
53890,I went around the world,世界を丸一周しました,0,1
13283,"quiet down, quiet down!",パパ 早く! 夏!夏! 落ち着け 落ち着け!,1,1
47202,Grim Reaper: I don't know when and where to face death,死神:いつどこで死と対面するかわからんぞ,0,1
58375,"Hmm, was India connected to Australia?",んーインドはオーストラリアと繋がってたの?,0,1
20220,an invunche. we can't outrun it.,招待状。私たちはそれを追い越すことはできません。,0,0
33076,and the picture seized form here are also,とここで押収された写真も,0,0
39234,in that person getting their home repaired.,その人が彼らの家を修理している。,0,0
51069,Lost in the thickness of the atmosphere,大気の厚さで失われます,0,1
59314,Is Clay Parker a superhuman?,クレイ・パーカーは超人だと?,0,1
14631,now i have to break into isis headquarters in a $900 turtleneck.,900ドルのセーターで 侵入するハメに,1,1
15148,"this one's getting a little big, though.",この巣は ちょっと大きくなり過ぎたが,1,1
26611,"it was a tedster event there, i think.",そこはテスターイベントだったと思います。,0,0
41320,The same can be said for us,我々にも言える事だな,0,1
52700,In South India,南インドには,0,1
27049,willwill he be arrested?,彼は逮捕されますか？,0,0
48774,I knit a muffler,私ね マフラー編んだんだよ,0,1
59630,Architects need traits-,建築家には 特性が必要となり-,0,1
2163,but it's not too late.,でも 遅くない,1,1
20256,"hey, where are you going?",ねえ、どこに行くの？,0,0
17081,just like ion channels behave in the brain.,脳でイオンチャンネルが振舞うのと似ています。,1,1
56804,stop!,止まって!,0,1
14847,and most other sedentary traditional societies,世界中で見られる 定住性の高い,1,1
36630,i said groundies.,私はグラウンディーと言いました。,0,0
28521,what else would make a difference?,他に何が違いを生むでしょうか？,0,0
18284,"of the global, coastal ocean.",地球規模や沿岸域で,1,1
42442,When small things can be big,小さなものが 大きなことになり得ると,0,1
10874,i'd like to understand why.,理由が知りたくて,1,1
7445,don't destroy your image. you understand?,イメージを崩さないで。 分かったわね?,1,1
18394,down here!,ここだ,1,1
784,"and it was so delicious, i thought about making it for everyone",あんまり美味しかったから、 皆に食べさせてあげようと思って、レシピ聞いてきたんだ,1,1
15094,the charles bonnet ones are quite different.,シャルルボネは かなり違います,1,1
40460,It's been a long time since I was treated.,治療を受けてからずいぶん経った。,0,1
15800,i don't need a reward.,ご褒美は いらない,1,1
59236,I think it's right there,直ぐそこだと思う,0,1
35033,you're right.,あなたが正しい。,0,0
20133,"ok, whoa, whoa, whoa.",わかりました、おっ、おっ、おっ。,0,0
35439,elizabeth can you come on up here?,エリザベスここに来られますか？,0,0
30094,pleased to meet you.,会えてうれしいよ。,0,0
57930,Now is the time to buy,今が買い時です,0,1
44418,"In the oath testimony, the answer should be brief.",宣誓証言では 受け答えを簡潔にね,0,1
12063,i asked for ranch dressing with these fries. just like those women who write love letters to serial killers in prison. hey.,フライのドレッシングは?,1,1
11276,"for others, only a few.",ここに来たいくつかの種族は全員死んだ 後の種族はわずかだ,1,1
53956,You should choose,自分が選択するべきだ,0,1
18983,she was pretty and she could rollerblade,美しくてローラーブレードも できるけれど 何よりも,1,1
4943,"and yet, people who are 10 years older all say",10年後の人たちは 口を揃えて言うのです,1,1
21268,"how, by letting himself get killed?",どのように、彼自身を殺させることによって？,0,0
24600,i don't know. i think he's a glorified gofer.,わからない。彼は栄光のゴファーだと思います。,0,0
29416,that's what we thought was going to come out of this.,それが私たちがこれから出てくると思っていたものです。,0,0
40853,This is to cheat the umami ingredients of dried bonito.,かつお節のうまみ成分を ごまかすためだ。,0,1
29650,huh? a duet?!,は？デュエット？！,0,0
13824,something to think about when you get back on your feet.,意識が戻ったら 考えといてね,1,1
54974,She finds a few things and needs us fast,"彼女は2,3の事を見つけて 私達を必要としてる 速く",0,1
17124,so let's give this a try.,では やってみましょう,1,1
28287,coding!,コーディング！,0,0
38011,you look really happy.,あなたは本当に幸せそうに見えます。,0,0
3648,thank you.,何か礼をしたいが,1,1
41789,The retirement age has been set to 68-70.,定年退職年齢を68~70歳に設定しました,0,1
30099,"you know, he made it to the south summit on everest last year. who?",ご存知のように、彼は昨年エベレストで南峰に到着しました。誰？,0,0
24426,but their lbx techniques are pretty good,しかし、彼らのlbxテクニックはかなり良いです,0,0
11081,have control over,支配されています,1,1
20305,call 911.,911に電話してください。,0,0
48909,Can you help me remove this?,これ、外すの手伝ってくれます?,0,1
42934,? --Oh 15 years,? - ああ 15年になる,0,1
59912,Recently featured,最近取り上げられています,0,1
40716,Only that material is special,その資料だけが特別,0,1
18936,alright fine. i'll sign it.,わかった。 離婚届な。,1,1
40704,"Big float, the princess on it should kiss",大きな山車よ それに乗ったプリンセスが キスするはずだわ,0,1
